Equipo,Tipo,Fecha,Horas_Operacion,Horas_Reparacion,Falla,Estado
Grúa Horquilla 1,Reparación Correctiva (Falla),2026-04-08 00:00:00,1.5,1.0,1,Finalizado
Grúa Horquilla 2,Reparación Correctiva (Falla),2026-04-08,5.0,2.0,1,Finalizado
